BANK_ID,ASSETS,COST,P_LABOR_w1,P_FUNDS_w2,P_DEPOSI_w3,CON_LOAN_y1,NONC_LOA_y2,SECURITI_y3,t,POLICY
1155,75549.66084,2046.864774,12.12735557,0.007780021,0.023593445,3806.165693,43808.50998,27355.4334,50,4
1155,75994.29575,3089.694715,17.29964587,0.011867043,0.03510907,3936.6795,45093.67564,26410.0581,51,4
1155,77795.15368,4251.813599,26.77639485,0.018125524,0.045181985,3776.541979,44564.22059,28927.12521,52,4
1155,77956.64945,1016.781464,5.855448812,0.004485893,0.011486298,3823.506769,43983.45701,29679.95306,53,4
1155,81157.33434,2065.373645,11.05022154,0.007777209,0.023202273,3979.533732,47767.49058,28883.24355,54,4
1155,79911.91403,3132.011024,16.51105221,0.013228536,0.036149453,4047.566513,49217.62652,26129.54803,55,4
1155,81797.88535,4303.064689,25.82041479,0.019197058,0.046481215,3995.187909,49298.49899,27974.24661,56,4
1155,80990.63138,1117.773474,5.861137659,0.006195611,0.011799186,3844.940381,50478.70732,26153.17999,57,4
1155,84732.47652,2380.205697,11.96733398,0.012020506,0.024249756,3973.413636,53997.58126,26166.6081,58,4
1155,84359.44605,3700.998953,17.67430255,0.020068767,0.037879674,4089.833609,54197.89527,25494.12096,59,4
1155,86500.69286,5050.180678,25.21830178,0.024401035,0.046592112,4008.783075,54522.54378,27197.98642,60,4
1155,87513.213,1280.681166,5.884441557,0.003642987,0.012739822,4024.399081,53827.73507,28339.87422,61,4
1155,89188.63428,2549.257753,11.94024964,0.006513582,0.024977927,4348.448105,54793.77668,28103.58921,62,4
1155,86418.62997,3717.220337,17.53433004,0.011627476,0.036449839,4359.00275,53650.38178,26246.68767,63,4
1155,87981.76056,4834.018709,24.10402909,0.014413884,0.046170207,4521.67946,52323.37438,28510.43697,64,4
1155,89266.77731,1006.936121,6.007250308,0.00287346,0.008858985,4244.940263,51635.54684,30664.46971,65,4
1155,88104.88749,1992.533186,12.80425106,0.005420354,0.017176738,4363.031429,51904.46241,29158.77172,66,4
1155,88228.66162,2886.85386,18.40497148,0.00821534,0.024619658,4610.786189,53421.45222,27608.13889,67,4
1155,88660.9293,3774.146977,25.92480338,0.010263177,0.031177253,4456.842506,53736.34127,27955.94122,68,4
1155,92840.50689,791.0380158,5.714319306,0.001982567,0.00584193,4428.195775,57451.99954,28593.9355,69,4
1155,95823.67849,1618.949596,12.33719171,0.003289575,0.011471755,4612.998705,59213.24943,29646.25875,70,4
1155,95516.9569,2388.825744,18.10066831,0.004642742,0.017311837,5083.602885,59074.00398,29113.47975,71,4
1155,95200.69077,3235.197578,26.13266273,0.006292941,0.022510683,5091.098881,58705.50839,29256.36964,72,4
1155,98134.3929,802.7218427,6.826754216,0.001283338,0.00540493,4505.918915,61916.34785,29663.80143,73,4
1155,97372.2072,1611.845602,14.16612073,0.002950068,0.010532505,4515.259293,61210.9152,29598.21751,74,4
1155,99467.17853,2434.154844,20.99085423,0.004402443,0.015340332,4476.688724,62161.87213,30852.97759,75,4
1155,99076.88661,3254.933902,28.33385638,0.005750921,0.021386108,4437.491108,61805.70113,30877.38109,76,4
1155,99748.34095,856.9192567,7.61902626,0.001374046,0.005422645,4379.809534,61634.28497,31868.96135,77,4
1155,102587.3127,1700.734881,14.31516946,0.002622174,0.011351602,4522.812499,65864.13129,30419.03948,78,4
1155,103746.1438,2662.091667,20.58356592,0.003875585,0.018713301,4683.646991,67430.43619,29950.57418,79,4
1155,105616.1676,3679.984107,28.85932777,0.00537156,0.025530266,4772.752269,68041.65868,31204.39405,80,4
3458,11442,217,5.571428571,0.008237232,0.017431598,531,5527,5379,1,1
3458,10644.29965,421.309886,11.24062175,0.021932424,0.034934001,524.8943497,5307.70776,4868.469793,2,1
3458,9972.64468,608.1001879,16.72240088,0.033515732,0.051429889,506.915491,4657.472075,4964.994193,3,1
3458,10164.22668,775.4131975,21.98554322,0.042284866,0.0643531,505.1037622,3979.665189,5655.780994,4,1
3458,10732.38379,165.520429,5.456717439,0.005568815,0.012914742,493.6230545,4112.546043,6104.667656,5,1
3458,9975.121374,324.9478727,10.84086145,0.011345219,0.027403465,486.4489112,4206.810184,5262.404322,6,1
3458,9197.07327,477.1428476,14.00520504,0.035650624,0.041173088,461.6888283,3953.331327,4806.20002,7,1
3458,9803.588666,619.7891213,18.56014563,0.031988873,0.05025718,523.0368782,3541.515272,5829.083157,8,1
3458,9585.602049,149.2255351,4.633595438,0.003685504,0.012709991,534.1703869,3518.681089,5611.640505,9,1
3458,9539.911311,296.5336553,8.367792743,0.008016032,0.025331994,557.2949967,3947.192434,5095.671988,10,1
3458,8716.114696,440.0856374,12.92241125,0.022257552,0.039578149,515.4491398,3558.832057,4757.204786,11,1
3458,8914.533833,572.2728284,21.22947589,0.036764706,0.049773243,502.1232559,3170.576073,5378.441566,12,1
3458,9170.12132,126.9062986,4.108477294,0.003444317,0.01220468,393.5008253,3373.516356,5545.531352,13,1
3458,8943.408075,263.8653287,7.530403215,0.011173184,0.026881103,457.2460832,3998.644107,4559.809755,14,1
3458,9032.445838,410.8919541,11.66287206,0.01894452,0.041454298,466.5148824,4026.382293,4612.217328,15,1
3458,10332.20263,573.7637747,15.29442774,0.020193861,0.050126287,508.7253344,4139.295803,5752.783685,16,1
3458,10702.40005,173.6000668,3.81861399,0.005890052,0.015134529,547.2367587,4808.809971,5420.375688,17,1
3458,10539.74784,365.4546792,7.849861845,0.013831259,0.032599452,472.7361245,5042.227925,5105.02682,18,1
3458,10590.93534,545.4967106,11.67069032,0.019732654,0.04893918,571.431578,5477.443991,4623.322359,19,1
3458,11041.70618,725.0168405,15.44414571,0.033805031,0.060316357,489.9226224,5399.444943,5235.565397,20,1
3458,10724.55598,180.101859,4.389274866,0.006666667,0.015268515,555.5972444,4974.03955,5292.615952,21,3
3458,11175.61907,364.5049029,7.834926815,0.010353228,0.030769231,568.6951494,5269.289626,5418.635385,22,3
3458,11612.71449,550.3140088,11.96594931,0.014428413,0.044202114,518.4845837,5332.266332,5856.614231,23,3
3458,12118.43269,733.1376852,16.30517254,0.026851098,0.053399519,497.3672705,4714.575183,7000.631783,24,3
3458,12471.32536,165.9082794,3.629243612,0.000592066,0.012067697,552.4745705,4521.000614,7455.918077,25,3
3458,13050.99564,337.1349219,8.13987128,0.002995507,0.023047375,572.0577892,4715.767452,7832.410826,26,3
3458,13616.01958,510.2828328,14.06383554,0.005327869,0.034090909,721.1231673,4558.089099,8417.205571,27,3
3458,13772.23904,671.4587875,19.09140797,0.009687362,0.043734576,823.8408182,4525.827799,8521.17056,28,3
3458,12675.91317,144.2286209,4.861638905,0.005200594,0.009423625,835.3916185,4451.640691,7497.457465,29,3
3458,12539.68136,280.2703347,9.894601308,0.008069522,0.018788199,951.9526886,4787.146177,6920.583294,30,3
3458,13028.08248,413.0816369,14.7529156,0.010357328,0.026385793,982.2697063,5077.862059,7094.43695,31,3
3458,13981.5386,559.8668056,20.25122768,0.012204424,0.033983594,1009.034485,5190.913,7913.792955,32,3
3458,14177.12787,145.8291328,5.094961939,0.005015432,0.008562109,1003.367838,5467.007382,7856.544532,33,3
3458,13728.32934,283.9038697,9.069151392,0.011376564,0.016376123,1091.452654,5821.606572,6969.84,34,3
3458,13511.60086,425.914273,12.28850266,0.011359026,0.02629174,1117.730827,5909.462491,6647.557023,35,3
3458,14553.06811,596.7569201,16.90161212,0.017087063,0.033305999,1154.51012,6161.027654,7378.7238,36,3
3458,14805.15485,177.6184232,4.309035011,0.004134509,0.010496,1289.86654,6542.407857,7129.556968,37,3
3458,14157.35719,389.9779293,8.751979933,0.0119848,0.024352506,1388.475875,7444.331166,5482.858017,38,3
3458,14426.15739,604.8687195,14.89114541,0.019162736,0.036861266,1510.250361,7489.765783,5582.930595,39,3
3458,13031.43366,792.3331929,20.07600995,0.050123762,0.049726338,1320.810255,7380.32366,4552.091857,40,3
3458,13172.75875,168.87177,4.659187349,0.001135074,0.010940499,1294.68357,6894.075909,5207.640259,41,3
3458,13147.16704,341.7702655,9.662019701,0.003000429,0.02276964,1323.88615,7237.042208,4796.908605,42,3
3458,14059.34882,514.6152405,12.9304531,0.006660746,0.031451563,1271.046747,7070.103069,5941.879054,43,3
3458,13476.35329,672.9154315,19.73634646,0.01552795,0.040538893,1070.649804,6712.613377,5896.84439,44,3
3458,13743.58012,164.3879533,5.137123541,0.002194587,0.010039146,1007.997041,6944.64381,5984.468719,45,3
3458,13225.14792,337.5777319,10.3397153,0.00630063,0.022683909,1491.899822,6645.735569,5302.131484,46,3
3458,13535.88312,525.7230376,13.86087105,0.013830814,0.03260513,1044.020609,7230.17686,5433.213935,47,4
3458,14074.40709,691.9898317,18.33793612,0.017177501,0.040959227,1364.737165,6214.586756,6669.745843,48,4
3458,13596.33216,176.5949343,4.515444624,0.004297115,0.010903727,947.9970741,7014.291679,5821.721704,49,4
3458,13741.86556,365.7222363,9.011972669,0.009156149,0.023080484,1041.128624,7569.56548,5329.516783,50,4
3458,13708.95929,552.4133203,13.05941656,0.014289061,0.03599024,1042.386305,7583.92968,5269.229717,51,4
3458,14107.29197,733.7783718,18.22647541,0.024033777,0.042284822,1011.325281,6546.15256,6688.95374,52,4
3458,14428.23109,177.2438277,4.61952363,0.003112282,0.010382907,886.948537,6297.626372,7405.582645,53,4
3458,14819.65567,372.2179888,10.45045623,0.007600184,0.021608786,776.4234611,5866.795254,8303.659899,54,4
3458,14310.62484,551.9408882,15.5731353,0.012425447,0.032705469,715.6398918,5483.91662,8260.280694,55,4
3458,14468.76661,740.490522,21.08991993,0.02042042,0.041265866,603.4961703,4771.008553,9255.771014,56,4
3458,14729.27747,182.4790242,5.277579622,0.002664083,0.010365307,568.9051931,5432.865693,8882.792657,57,4
3458,14299.02346,370.0170291,10.58462175,0.007058824,0.021413155,535.1015498,5190.200404,8730.267173,58,4
3458,13954.92232,559.2149326,16.08361532,0.009318293,0.034050927,541.54063,4856.191368,8707.775379,59,4
3458,14603.47429,748.1749153,21.53463983,0.015366773,0.042726461,504.1742615,4322.397748,9933.006441,60,4
3458,14919.62118,195.6305109,5.065432871,0.003735525,0.011913187,419.906918,4707.708508,9952.003561,61,4
3458,14426.82831,383.0131409,9.974300545,0.007912784,0.024022552,411.4615807,5172.065131,9003.584269,62,4
3458,13229.84652,548.4196702,15.1282223,0.013851653,0.035247876,367.9183664,5536.064893,7487.692016,63,4
3458,14307.61977,697.7645034,21.02946379,0.014044411,0.040861988,398.525576,5071.203481,9014.400313,64,4
3458,15200.95513,138.8403389,5.326795181,0.001529052,0.007077638,397.9631497,5331.60648,9646.654241,65,4
3458,15154.20772,281.4196355,10.52755936,0.003469484,0.014929562,431.3731639,5305.205197,9586.070309,66,4
